"","len","supp","dose"
1,4.2,"VC",a
2,11.5,"VC",a
3,7.3,"VC",a
4,5.8,"VC",a
5,6.4,"VC",a
6,10.0,"VC",a
7,11.2,"VC",a
8,11.2,"VC",a
9,5.2,"VC",a
10,7.0,"VC",a
11,16.5,"VC",b
12,16.5,"VC",b
13,15.2,"VC",b
14,17.3,"VC",b
15,22.5,"VC",b
16,17.3,"VC",b
17,13.6,"VC",b
18,14.5,"VC",b
19,18.8,"VC",b
20,15.5,"VC",b
21,23.6,"VC",c
22,18.5,"VC",c
23,33.9,"VC",c
24,25.5,"VC",c
25,26.4,"VC",c
26,32.5,"VC",c
27,26.7,"VC",c
28,21.5,"VC",c
29,23.3,"VC",c
30,29.5,"VC",c
31,15.2,"OJ",a
32,21.5,"OJ",a
33,17.6,"OJ",a
34,9.7,"OJ",a
35,14.5,"OJ",a
36,10.0,"OJ",a
37,8.2,"OJ",a
38,9.4,"OJ",a
39,16.5,"OJ",a
40,9.7,"OJ",a
41,19.7,"OJ",b
42,23.3,"OJ",b
43,23.6,"OJ",b
44,26.4,"OJ",b
45,20.0,"OJ",b
46,25.2,"OJ",b
47,25.8,"OJ",b
48,21.2,"OJ",b
49,14.5,"OJ",b
50,27.3,"OJ",b
51,25.5,"OJ",c
52,26.4,"OJ",c
53,22.4,"OJ",c
54,24.5,"OJ",c
55,24.8,"OJ",c
56,30.9,"OJ",c
57,26.4,"OJ",c
58,27.3,"OJ",c
59,29.4,"OJ",c
60,23.0,"OJ",c
